Title,Genre,Console,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales
Dragon Quest VIII: Journey of the Cursed King,Role-Playing,PS2,5.21m,0.65m,0.75m,3.61m,0.20m
Sudden Strike 4,Strategy,PS4,0.10m,0.05m,0.03m,0.01m,0.02m
Sudden Strike 4,Strategy,XOne,0.02m,0.02m,N/A,N/A,0.00m
Sudden Strike 4,Strategy,PC,0.02m,0.01m,0.01m,N/A,0.00m
Full Spectrum Warrior,Strategy,PS2,0.30m,0.15m,0.11m,N/A,0.04m
Full Spectrum Warrior,Strategy,PC,0.00m,N/A,0.00m,N/A,N/A
MotorStorm,Racing,PS3,3.87m,1.53m,1.61m,0.06m,0.67m
Call of Duty: Infinite Warfare,Shooter,PS4,8.48m,3.11m,3.83m,0.19m,1.36m
Call of Duty: Infinite Warfare,Shooter,XOne,4.79m,2.91m,1.44m,N/A,0.44m
Call of Duty: Infinite Warfare,Shooter,PC,0.33m,0.12m,0.19m,N/A,0.03m
Need for Speed: Undercover,Racing,PS3,2.06m,0.63m,1.01m,0.05m,0.38m
Need for Speed: Undercover,Racing,X360,1.69m,0.80m,0.70m,0.01m,0.18m
Need for Speed: Undercover,Racing,PS2,1.40m,0.38m,0.08m,0.03m,0.93m
Need for Speed: Undercover,Racing,Wii,0.65m,0.27m,0.31m,0.00m,0.07m
Need for Speed: Undercover,Racing,PC,0.07m,N/A,0.07m,N/A,0.01m
Egg Mania: Eggstreme Madness,Puzzle,PS2,0.03m,0.02m,0.01m,N/A,0.00m
Dragon Quest X: All in One Package Ver.1-4,MMO,NS,0.03m,N/A,N/A,0.03m,N/A
Dragon Quest X: All in One Package Ver.1-4,MMO,PS4,0.01m,N/A,N/A,0.01m,N/A
Dragon Quest X: All in One Package Ver.1-4,MMO,WiiU,N/A,N/A,N/A,N/A,N/A
Dragon Quest X: All in One Package Ver.1-4,MMO,PC,N/A,N/A,N/A,N/A,N/A
The Letter,Adventure,WiiU,N/A,N/A,N/A,N/A,N/A
WWE SmackDown! vs. Raw 2006,Fighting,PS2,3.00m,1.57m,1.02m,N/A,0.41m
Midnight Club: Los Angeles,Racing,PS3,2.50m,1.59m,0.54m,0.05m,0.33m
Midnight Club: Los Angeles,Racing,X360,2.40m,1.72m,0.45m,0.01m,0.22m
Resident Evil 4,Action,PS2,3.62m,2.08m,0.83m,0.46m,0.25m
Resident Evil 4,Misc,Wii,2.22m,1.32m,0.56m,0.14m,0.20m
Resident Evil 4,Action,Wii,1.46m,1.26m,0.06m,0.14m,N/A
Resident Evil 4,Action-Adventure,PS4,0.10m,0.07m,N/A,0.01m,0.02m
Resident Evil 4,Action-Adventure,XOne,0.05m,0.04m,N/A,N/A,0.01m
Resident Evil 4,Action,PC,0.01m,N/A,0.01m,N/A,0.00m
Resident Evil 4,Misc,X360,N/A,N/A,N/A,N/A,N/A
Resident Evil 4,Misc,PS3,N/A,N/A,N/A,N/A,N/A
Resident Evil 4,Action-Adventure,NS,N/A,N/A,N/A,N/A,N/A
Tokyo Twilight Ghost Hunters,Visual Novel,PS3,0.07m,0.03m,0.00m,0.02m,0.01m
LEGO Star Wars: The Video Game,Action,PS2,3.53m,1.98m,1.14m,0.01m,0.41m
LEGO Star Wars: The Video Game,Action,PC,0.02m,N/A,0.01m,N/A,0.00m
Battalion Wars 2,Strategy,Wii,0.34m,0.22m,0.02m,0.08m,0.02m
Paper Mario: The Thousand-Year Door,Role-Playing,NS,N/A,N/A,N/A,N/A,N/A
Hitman 2: Silent Assassin,Action,PS2,2.96m,1.36m,1.15m,0.04m,0.41m
Hitman 2: Silent Assassin,Action,PC,0.00m,N/A,0.00m,N/A,0.00m
Gran Turismo Sport,Racing,PS4,3.77m,0.63m,2.35m,0.24m,0.54m
WWE SmackDown vs. Raw 2009,Sports,PS2,1.24m,0.69m,0.00m,N/A,0.55m
WWE SmackDown vs. Raw 2009,Fighting,PS3,0.94m,0.51m,0.30m,0.01m,0.12m
WWE SmackDown vs. Raw 2009,Fighting,X360,0.92m,0.58m,0.26m,N/A,0.08m
WWE SmackDown vs. Raw 2009,Fighting,Wii,0.83m,0.44m,0.31m,N/A,0.08m
Sonic Riders: Zero Gravity,Racing,Wii,0.91m,0.48m,0.32m,0.02m,0.09m
Sonic Riders: Zero Gravity,Racing,PS2,0.18m,0.09m,0.07m,N/A,0.02m
Blazing Angels: Squadrons of WWII,Simulation,Wii,0.84m,0.74m,0.04m,N/A,0.06m
Blazing Angels: Squadrons of WWII,Simulation,PS3,0.67m,0.35m,0.22m,N/A,0.10m
Blazing Angels: Squadrons of WWII,Simulation,X360,0.42m,0.36m,0.02m,N/A,0.03m
Blazing Angels: Squadrons of WWII,Simulation,PC,0.03m,0.03m,0.00m,N/A,0.00m
Wii Sports,Sports,Wii,82.65m,41.36m,29.02m,3.77m,8.51m
PixelMaker Studio,Education,WiiU,N/A,N/A,N/A,N/A,N/A
Monster 4x4: World Circuit,Racing,Wii,0.88m,0.80m,0.00m,0.01m,0.07m
New Play Control! Pikmin,Strategy,Wii,0.64m,0.28m,0.13m,0.19m,0.04m
Worms: WMD,Strategy,PS4,0.05m,0.02m,0.02m,N/A,0.01m
Worms: WMD,Strategy,XOne,0.02m,0.02m,N/A,N/A,0.00m
Worms: WMD,Strategy,PC,N/A,N/A,N/A,N/A,N/A
Worms: WMD,Strategy,NS,N/A,N/A,N/A,N/A,N/A
Bendy and the Ink Machine,Puzzle,PS4,0.18m,0.15m,N/A,N/A,0.03m
Bendy and the Ink Machine,Puzzle,NS,0.17m,0.15m,N/A,N/A,0.02m
Bendy and the Ink Machine,Puzzle,XOne,0.16m,0.14m,N/A,N/A,0.02m
Bendy and the Ink Machine,Puzzle,PC,N/A,N/A,N/A,N/A,N/A
The Elder Scrolls III: Morrowind Game of the Year Edition,Role-Playing,PC,0.00m,N/A,0.00m,N/A,0.00m
Nintendo Land,Party,WiiU,4.63m,2.52m,1.23m,0.51m,0.38m
WWE 2K19,Fighting,PS4,0.98m,0.36m,0.46m,N/A,0.16m
WWE 2K19,Fighting,XOne,0.48m,0.30m,0.14m,N/A,0.04m
WWE 2K19,Fighting,PC,N/A,N/A,N/A,N/A,N/A
EyePet,Simulation,PS3,1.01m,0.37m,0.52m,0.04m,0.09m
The Three Kingdoms Love Story ~ The Art of Otome!,Visual Novel,PS2,0.01m,N/A,N/A,0.01m,N/A
The Three Kingdoms Love Story ~ The Art of Otome!,Visual Novel,NS,N/A,N/A,N/A,N/A,N/A
Ratchet & Clank: Going Commando,Platform,PS2,2.78m,1.44m,0.83m,0.26m,0.25m
Ratchet & Clank: Going Commando,Misc,PS3,N/A,N/A,N/A,N/A,N/A
Wii Fit U,Misc,WiiU,0.86m,0.35m,0.24m,0.21m,0.06m
Hello Kitty Kruisers,Misc,NS,0.02m,0.02m,N/A,N/A,0.00m
Hello Kitty Kruisers,Racing,WiiU,0.01m,0.01m,N/A,N/A,0.00m
Mojo!,Puzzle,PS2,0.14m,0.07m,0.05m,N/A,0.02m
PopCap Arcade Vol 1,Puzzle,X360,0.04m,0.04m,N/A,N/A,0.00m
Aqua TV,Simulation,WiiU,N/A,N/A,N/A,N/A,N/A
Crazy Taxi,Racing,PS2,2.52m,1.13m,1.12m,0.06m,0.22m
Crazy Taxi,Racing,PC,N/A,N/A,N/A,N/A,N/A
Go! Puzzle,Puzzle,PS3,N/A,N/A,N/A,N/A,N/A
Nobunaga's Ambition: Sphere of Influence - Ascension,Strategy,PS4,0.09m,0.03m,N/A,0.06m,0.01m
Madden NFL 2003,Sports,PS2,4.14m,3.36m,0.21m,0.01m,0.56m
Madden NFL 2003,Sports,PC,N/A,N/A,N/A,N/A,N/A
SD Gundam G Generation Neo,Strategy,PS2,0.57m,N/A,N/A,0.57m,N/A
The Walking Dead - The Telltale Series: A New Frontier,Adventure,PS4,0.17m,0.11m,0.04m,N/A,0.03m
The Walking Dead - The Telltale Series: A New Frontier,Adventure,XOne,0.12m,0.10m,0.01m,N/A,0.01m
The Walking Dead - The Telltale Series: A New Frontier,Adventure,PC,N/A,N/A,N/A,N/A,N/A
I Spy: Spooky Mansion,Puzzle,Wii,0.30m,0.27m,N/A,N/A,0.02m
Bloodborne,Role-Playing,PS4,3.11m,1.30m,1.05m,0.28m,0.48m
Forza Horizon,Racing,X360,1.94m,0.82m,0.94m,0.04m,0.16m
Every Party,Party,X360,N/A,N/A,N/A,N/A,N/A
Final Fantasy XV,Role-Playing,PS4,5.07m,1.81m,1.53m,1.05m,0.68m
Final Fantasy XV,Role-Playing,XOne,1.14m,0.72m,0.30m,0.01m,0.11m
Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,PS4,1.54m,0.71m,0.47m,0.12m,0.24m
Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,XOne,0.35m,0.25m,0.07m,N/A,0.03m
Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,PC,0.00m,N/A,0.00m,N/A,0.00m
Fight Night Round 3,Fighting,PS3,1.67m,0.81m,0.58m,0.01m,0.26m
Fight Night Round 3,Fighting,PS2,1.56m,1.07m,0.40m,N/A,0.10m
Fight Night Round 3,Fighting,X360,1.47m,1.33m,0.03m,0.01m,0.10m
Hannah Montana: Spotlight World Tour,Action,Wii,1.39m,0.87m,0.38m,N/A,0.13m
Hannah Montana: Spotlight World Tour,Action,PS2,0.28m,0.12m,0.02m,N/A,0.14m
FRU,Puzzle,XOne,N/A,N/A,N/A,N/A,N/A
Lumo,Puzzle,PS4,0.04m,0.03m,N/A,N/A,0.01m
Lumo,Puzzle,NS,0.02m,N/A,0.02m,N/A,0.00m
Lumo,Puzzle,PC,N/A,N/A,N/A,N/A,N/A
Lumo,Puzzle,XOne,N/A,N/A,N/A,N/A,N/A
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,X360,1.11m,0.67m,0.34m,N/A,0.10m
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,PS3,1.04m,0.52m,0.34m,N/A,0.18m
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,PS4,0.75m,0.37m,0.25m,N/A,0.13m
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,WiiU,0.70m,0.41m,0.22m,N/A,0.06m
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,XOne,0.55m,0.35m,0.15m,N/A,0.05m
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,PC,N/A,N/A,N/A,N/A,N/A
PlayStation Move Ape Escape,Party,PS3,0.04m,N/A,0.03m,N/A,0.01m
Dead Rising 3,Action,XOne,1.63m,1.06m,0.40m,0.01m,0.15m
Rodea the Sky Soldier,Action-Adventure,WiiU,0.14m,0.10m,0.02m,0.01m,0.01m
Rodea the Sky Soldier,Action-Adventure,Wii,N/A,N/A,N/A,N/A,N/A
EverQuest Next,MMO,PS4,N/A,N/A,N/A,N/A,N/A
EverQuest Next,MMO,PC,N/A,N/A,N/A,N/A,N/A
Sea of Thieves,Action-Adventure,XOne,0.96m,0.60m,0.27m,N/A,0.09m
Sea of Thieves,Action-Adventure,PC,N/A,N/A,N/A,N/A,N/A
Bayonetta 2,Action,WiiU,0.86m,0.37m,0.32m,0.10m,0.06m
Bayonetta 2,Action,NS,0.57m,0.26m,0.20m,0.07m,0.04m
Dora the Explorer: Journey to the Purple Planet,Education,PS2,0.24m,0.12m,0.09m,N/A,0.03m
Tears to Tiara II: Heir of the Overlord,Visual Novel,PS3,0.15m,0.07m,0.01m,0.06m,0.02m
Dark Souls III,Role-Playing,PS4,2.42m,1.00m,0.63m,0.44m,0.34m
Dark Souls III,Role-Playing,XOne,0.79m,0.56m,0.15m,N/A,0.08m
Dark Souls III,Role-Playing,PC,0.11m,N/A,0.11m,N/A,0.01m
Overcooked! 2,Simulation,NS,0.29m,0.17m,0.09m,0.01m,0.03m
Overcooked! 2,Simulation,PS4,0.16m,0.07m,0.06m,N/A,0.03m
Overcooked! 2,Simulation,XOne,0.08m,0.07m,0.00m,N/A,0.01m
NBA 2K17,Sports,PS4,3.52m,2.28m,0.59m,0.03m,0.63m
NBA 2K17,Sports,XOne,2.04m,1.70m,0.12m,N/A,0.21m
NBA 2K17,Sports,X360,0.35m,0.26m,0.06m,N/A,0.04m
NBA 2K17,Sports,PS3,0.34m,0.16m,0.11m,0.02m,0.05m
NBA 2K17,Sports,PC,0.03m,N/A,0.03m,N/A,0.00m
Mirror's Edge Catalyst,Platform,PS4,0.42m,0.13m,0.19m,0.03m,0.06m
Mirror's Edge Catalyst,Platform,XOne,0.19m,0.11m,0.06m,N/A,0.02m
Mirror's Edge Catalyst,Platform,PC,0.08m,0.01m,0.06m,N/A,0.01m
The Elder Scrolls Online: Summerset,MMO,XOne,0.11m,0.09m,0.01m,N/A,0.01m
The Elder Scrolls Online: Summerset,MMO,PS4,0.10m,0.08m,N/A,N/A,0.02m
The Elder Scrolls Online: Summerset,MMO,PC,0.01m,N/A,0.01m,N/A,0.00m
This Is the Police 2,Strategy,PS4,0.02m,0.02m,N/A,N/A,0.00m
This Is the Police 2,Strategy,XOne,0.02m,0.02m,N/A,N/A,0.00m
This Is the Police 2,Strategy,NS,0.01m,0.01m,N/A,N/A,0.00m
This Is the Police 2,Strategy,PC,N/A,N/A,N/A,N/A,N/A
Viva Pinata,Simulation,X360,1.62m,0.45m,0.95m,0.02m,0.20m
Viva Pinata,Simulation,PC,0.02m,N/A,0.02m,N/A,0.00m
Doom 3,Shooter,PC,0.12m,0.06m,0.04m,N/A,0.01m
Doom 3,Shooter,NS,N/A,N/A,N/A,N/A,N/A
Doom 3,Shooter,XOne,N/A,N/A,N/A,N/A,N/A
Doom 3,Shooter,PS4,N/A,N/A,N/A,N/A,N/A
LittleBigPlanet 3,Platform,PS4,2.06m,0.78m,0.93m,0.01m,0.34m
LittleBigPlanet 3,Platform,PS3,0.64m,0.20m,0.33m,0.01m,0.10m
The Sims 2: Pets,Simulation,Wii,0.47m,0.41m,0.03m,N/A,0.04m
The Sims 2: Pets,Simulation,PS2,0.30m,0.02m,0.01m,N/A,0.27m
The Sims 2: Pets,Simulation,PC,0.04m,0.01m,0.02m,N/A,0.00m
Assassin's Creed,Action,X360,5.55m,3.28m,1.64m,0.07m,0.56m
Assassin's Creed,Action,PS3,4.83m,1.91m,2.01m,0.09m,0.82m
Assassin's Creed,Adventure,PC,0.91m,0.01m,0.84m,N/A,0.06m
Super Paper Mario,Platform,Wii,3.73m,1.95m,0.87m,0.59m,0.32m
Rocksmith 2014,Music,PS3,1.05m,0.56m,0.26m,0.05m,0.17m
Rocksmith 2014,Music,X360,0.99m,0.73m,0.16m,0.00m,0.10m
Rocksmith 2014,Music,PC,0.70m,0.39m,0.24m,N/A,0.06m
Rocksmith 2014,Music,PS4,0.67m,0.38m,0.17m,N/A,0.12m
Rocksmith 2014,Music,XOne,0.43m,0.31m,0.08m,N/A,0.04m
Life Is Strange: Before the Storm,Adventure,PS4,0.22m,0.11m,0.06m,0.02m,0.03m
Life Is Strange: Before the Storm,Adventure,XOne,0.09m,0.07m,0.00m,N/A,0.01m
Life Is Strange: Before the Storm,Adventure,PC,0.00m,N/A,0.00m,N/A,0.00m
SDK Spriter,Education,WiiU,N/A,N/A,N/A,N/A,N/A
The Adventures of Cookie & Cream,Puzzle,PS2,0.18m,0.09m,0.07m,N/A,0.02m
Dragon Ball FighterZ,Fighting,PS4,1.46m,0.61m,0.51m,0.12m,0.23m
Dragon Ball FighterZ,Fighting,XOne,0.52m,0.38m,0.09m,N/A,0.05m
Dragon Ball FighterZ,Fighting,NS,0.44m,0.21m,0.13m,0.07m,0.03m
Dragon Ball FighterZ,Fighting,PC,N/A,N/A,N/A,N/A,N/A
My Jurassic Farm,Simulation,WiiU,N/A,N/A,N/A,N/A,N/A
Retro City Rampage DX+,Action-Adventure,Wii,N/A,N/A,N/A,N/A,N/A
Super Smash Bros. Brawl,Fighting,Wii,12.91m,6.64m,2.57m,2.67m,1.03m
Need for Speed: Most Wanted (2012),Racing,PS3,2.74m,0.71m,1.52m,0.06m,0.45m
Need for Speed: Most Wanted (2012),Racing,X360,1.54m,0.62m,0.79m,0.01m,0.12m
Need for Speed: Most Wanted (2012),Racing,WiiU,0.28m,0.13m,0.13m,N/A,0.02m
Need for Speed: Most Wanted (2012),Racing,PC,0.07m,N/A,0.06m,N/A,0.01m
Puzzle Quest: Challenge of the Warlords,Puzzle,Wii,0.29m,0.26m,0.00m,N/A,0.02m
Puzzle Quest: Challenge of the Warlords,Puzzle,PS2,0.12m,0.06m,0.05m,N/A,0.02m
Puzzle Quest: Challenge of the Warlords,Puzzle,PC,N/A,N/A,N/A,N/A,N/A
Finding Nemo,Action,PS2,2.09m,1.26m,0.60m,0.05m,0.18m
Finding Nemo,Action,PC,N/A,N/A,N/A,N/A,N/A
FIFA 07 Soccer,Sports,PS2,4.11m,0.71m,2.48m,0.03m,0.89m
FIFA 07 Soccer,Sports,X360,0.28m,0.24m,0.01m,N/A,0.02m
FIFA 07 Soccer,Sports,PC,0.00m,N/A,0.00m,N/A,0.00m
F1 2009,Racing,Wii,0.88m,0.15m,0.62m,N/A,0.11m
F1 2009,Racing,PS3,N/A,N/A,N/A,N/A,N/A
F1 2009,Racing,PC,N/A,N/A,N/A,N/A,N/A
F1 2009,Racing,X360,N/A,N/A,N/A,N/A,N/A
The House of the Dead 2 & 3 Return,Shooter,Wii,1.45m,0.77m,0.50m,0.03m,0.15m
Puyo Pop Fever,Puzzle,PC,N/A,N/A,N/A,N/A,N/A
Puyo Pop Fever,Puzzle,PS2,N/A,N/A,N/A,N/A,N/A
FIFA Soccer 10,Sports,PS3,3.63m,0.60m,2.46m,0.05m,0.52m
FIFA Soccer 10,Sports,X360,2.62m,0.60m,1.79m,0.01m,0.23m
FIFA Soccer 10,Sports,PS2,1.70m,0.23m,0.24m,0.00m,1.23m
FIFA Soccer 10,Sports,Wii,0.98m,0.23m,0.64m,N/A,0.11m
FIFA Soccer 10,Sports,PC,0.05m,N/A,0.04m,N/A,0.01m
Captain Toad: Treasure Tracker,Puzzle,WiiU,1.41m,0.64m,0.46m,0.20m,0.11m
Captain Toad: Treasure Tracker,Puzzle,NS,0.85m,0.31m,0.31m,0.17m,0.06m
Fable Fortune,Board Game,PC,N/A,N/A,N/A,N/A,N/A
Fable Fortune,Board Game,XOne,N/A,N/A,N/A,N/A,N/A
Need for Speed Rivals,Racing,PS4,2.17m,0.75m,1.04m,0.03m,0.35m
Need for Speed Rivals,Racing,PS3,1.27m,0.33m,0.69m,0.05m,0.19m
Need for Speed Rivals,Racing,X360,0.81m,0.38m,0.35m,0.01m,0.07m
Need for Speed Rivals,Racing,XOne,0.70m,0.45m,0.19m,N/A,0.07m
Need for Speed Rivals,Racing,PC,0.25m,0.04m,0.19m,N/A,0.02m
Sonic Gems Collection,Misc,PS2,N/A,N/A,N/A,N/A,N/A
Sid Meier's Pirates!,Strategy,Wii,0.16m,0.13m,0.02m,N/A,0.01m
Sid Meier's Pirates!,Strategy,PC,N/A,N/A,N/A,N/A,N/A
Super Mario Galaxy 2,Platform,Wii,7.57m,3.59m,2.37m,0.98m,0.62m
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,Visual Novel,PS4,0.02m,N/A,N/A,0.02m,N/A
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,Visual Novel,NS,N/A,N/A,N/A,N/A,N/A
Until Dawn,Adventure,PS4,1.90m,0.62m,0.92m,0.06m,0.30m
Until Dawn,Adventure,PS3,0.00m,N/A,0.00m,N/A,0.00m
Kinect Sports,Sports,X360,6.23m,3.92m,1.73m,0.03m,0.55m
Fight Night 2004,Fighting,PS2,1.48m,1.08m,0.20m,N/A,0.20m
Wii Party U,Party,WiiU,1.88m,0.30m,0.66m,0.84m,0.08m
Steins;Gate: Senkei Kousoku no Phonogram,Visual Novel,PS3,0.06m,N/A,N/A,0.06m,N/A
Steins;Gate: Senkei Kousoku no Phonogram,Visual Novel,X360,0.02m,N/A,N/A,0.02m,N/A
Shrek 2,Platform,PS2,1.86m,1.12m,0.69m,0.03m,0.02m
Shrek 2,Platform,PC,0.00m,N/A,0.00m,N/A,0.00m
Fatal Frame: Maiden of Black Water,Misc,WiiU,0.12m,N/A,0.03m,0.09m,0.00m
Fatal Frame: Maiden of Black Water,Action-Adventure,NS,N/A,N/A,N/A,N/A,N/A
Fatal Frame: Maiden of Black Water,Action-Adventure,PS4,N/A,N/A,N/A,N/A,N/A
Fatal Frame: Maiden of Black Water,Action-Adventure,PS5,N/A,N/A,N/A,N/A,N/A
Fatal Frame: Maiden of Black Water,Action-Adventure,XOne,N/A,N/A,N/A,N/A,N/A
Fatal Frame: Maiden of Black Water,Action-Adventure,PC,N/A,N/A,N/A,N/A,N/A
Need for Speed: Shift,Racing,PS3,2.65m,0.69m,1.40m,0.04m,0.52m
Need for Speed: Shift,Racing,X360,1.91m,0.73m,0.96m,0.01m,0.22m
Need for Speed: Shift,Racing,PC,0.06m,N/A,0.05m,N/A,0.01m
Island Saver,Education,NS,N/A,N/A,N/A,N/A,N/A
Island Saver,Education,XOne,N/A,N/A,N/A,N/A,N/A
Island Saver,Education,PS4,N/A,N/A,N/A,N/A,N/A
Island Saver,Education,PC,N/A,N/A,N/A,N/A,N/A
PixARK,Sandbox,XOne,N/A,N/A,N/A,N/A,N/A
PixARK,Sandbox,PC,N/A,N/A,N/A,N/A,N/A
PixARK,Sandbox,NS,N/A,N/A,N/A,N/A,N/A
PixARK,Sandbox,PS4,N/A,N/A,N/A,N/A,N/A
Sonic & SEGA All-Stars Racing,Racing,Wii,1.45m,0.61m,0.69m,N/A,0.15m
Sonic & SEGA All-Stars Racing,Racing,PS3,0.96m,0.36m,0.44m,N/A,0.16m
Tetris Party Deluxe,Puzzle,Wii,0.56m,0.33m,0.16m,0.02m,0.05m
Eville,Party,XOne,N/A,N/A,N/A,N/A,N/A
Eville,Party,PC,N/A,N/A,N/A,N/A,N/A
Mafia III,Action-Adventure,PS4,2.87m,0.72m,1.67m,0.04m,0.44m
Mafia III,Action-Adventure,XOne,1.11m,0.54m,0.48m,N/A,0.09m
Mafia III,Action-Adventure,PC,0.35m,0.14m,0.18m,N/A,0.03m
Final Fantasy XII,Role-Playing,PS2,5.95m,1.88m,0.00m,2.33m,1.74m
Need for Speed: Hot Pursuit 2,Racing,PS2,2.11m,1.68m,0.31m,0.02m,0.09m
Need for Speed: Hot Pursuit 2,Racing,PC,0.00m,N/A,0.00m,N/A,0.00m
We Love Katamari,Puzzle,PS2,0.52m,0.26m,0.20m,N/A,0.07m
Cinders,Visual Novel,PC,N/A,N/A,N/A,N/A,N/A
Cinders,Visual Novel,PS4,N/A,N/A,N/A,N/A,N/A
Cinders,Visual Novel,XOne,N/A,N/A,N/A,N/A,N/A
NERF N-Strike,Shooter,Wii,1.09m,0.91m,0.09m,N/A,0.09m
James Bond 007: Nightfire,Shooter,PS2,3.33m,1.45m,1.29m,0.12m,0.46m
James Bond 007: Nightfire,Shooter,PC,0.00m,N/A,0.00m,N/A,0.00m
F1 2016,Racing,PS4,0.78m,0.07m,0.56m,0.03m,0.11m
F1 2016,Racing,XOne,0.22m,0.09m,0.12m,N/A,0.02m
F1 2016,Racing,PC,0.08m,N/A,0.08m,N/A,0.00m
The Last Story,Role-Playing,Wii,0.68m,0.31m,0.13m,0.18m,0.05m
Just Dance 2017,Music,Wii,1.00m,0.40m,0.51m,N/A,0.08m
Just Dance 2017,Music,WiiU,0.43m,0.19m,0.21m,N/A,0.04m
Just Dance 2017,Music,XOne,0.34m,0.25m,0.05m,N/A,0.03m
Just Dance 2017,Music,NS,0.29m,0.07m,0.20m,N/A,0.02m
Just Dance 2017,Music,X360,0.28m,0.19m,0.07m,N/A,0.03m
Just Dance 2017,Misc,PS4,0.24m,0.08m,0.12m,N/A,0.04m
Just Dance 2017,Music,PS3,0.13m,0.05m,0.06m,N/A,0.02m
Just Dance 2017,Music,PC,N/A,N/A,N/A,N/A,N/A
Assassin's Creed III,Action-Adventure,PS3,6.50m,2.65m,2.61m,0.16m,1.08m
Assassin's Creed III,Action-Adventure,X360,5.31m,3.13m,1.71m,0.03m,0.45m
Assassin's Creed III,Action-Adventure,PC,0.89m,0.28m,0.54m,N/A,0.07m
Assassin's Creed III,Action-Adventure,WiiU,0.36m,0.19m,0.14m,N/A,0.03m
Taiko Drum Master: Tokumori!,Misc,WiiU,0.12m,N/A,N/A,0.12m,N/A
Ace Combat 04: Shattered Skies,Simulation,PS2,3.17m,2.06m,0.56m,0.38m,0.17m
Dance Dance Revolution X2,Simulation,PS2,2.23m,1.09m,0.85m,N/A,0.28m
Super Lucky's Tale,Platform,PC,N/A,N/A,N/A,N/A,N/A
Prince of Persia: The Two Thrones,Adventure,PS2,0.68m,0.57m,0.02m,N/A,0.09m
Prince of Persia: The Two Thrones,Adventure,PC,0.00m,N/A,0.00m,N/A,0.00m
Assassin's Creed: Unity,Action,PS4,4.14m,1.25m,2.16m,0.09m,0.65m
Assassin's Creed: Unity,Action,XOne,3.58m,2.34m,0.90m,0.00m,0.34m
Assassin's Creed: Unity,Action,PC,0.56m,0.20m,0.31m,N/A,0.04m
God of War II,Action,PS2,4.07m,2.32m,0.04m,0.04m,1.67m
Def Jam: Fight for NY,Fighting,PS2,1.76m,0.86m,0.67m,N/A,0.22m
The Crew 2,Racing,PS4,0.82m,0.22m,0.42m,0.05m,0.12m
The Crew 2,Racing,XOne,0.33m,0.20m,0.10m,N/A,0.03m
The Crew 2,Racing,PC,N/A,N/A,N/A,N/A,N/A
Call of Duty 3,Shooter,X360,2.70m,1.49m,0.92m,0.02m,0.27m
Call of Duty 3,Shooter,Wii,2.24m,1.17m,0.84m,N/A,0.23m
Call of Duty 3,Shooter,PS3,1.51m,0.60m,0.63m,0.03m,0.26m
Call of Duty 3,Shooter,PS2,1.07m,0.89m,0.03m,N/A,0.15m
Doki Doki Literature Club Plus!,Visual Novel,PS4,N/A,N/A,N/A,N/A,N/A
Doki Doki Literature Club Plus!,Visual Novel,PC,N/A,N/A,N/A,N/A,N/A
Doki Doki Literature Club Plus!,Visual Novel,PS5,N/A,N/A,N/A,N/A,N/A
Doki Doki Literature Club Plus!,Visual Novel,XOne,N/A,N/A,N/A,N/A,N/A
Doki Doki Literature Club Plus!,Visual Novel,NS,N/A,N/A,N/A,N/A,N/A
Marvel Nemesis: Rise of the Imperfects,Fighting,PS2,0.77m,0.64m,0.02m,N/A,0.10m
LEGO Harry Potter: Years 1-4,Adventure,Wii,2.45m,1.29m,0.94m,N/A,0.22m
LEGO Harry Potter: Years 1-4,Adventure,X360,1.59m,0.95m,0.50m,N/A,0.14m
LEGO Harry Potter: Years 1-4,Adventure,PS3,1.37m,0.55m,0.61m,N/A,0.21m
LEGO Harry Potter: Years 1-4,Adventure,PC,0.05m,0.04m,0.01m,N/A,0.01m
Hatsune Miku: Project Diva F 2nd,Music,PS3,0.27m,0.10m,0.03m,0.10m,0.03m
Ratchet & Clank Future: Tools of Destruction,Platform,PS3,2.57m,0.93m,1.10m,0.08m,0.45m
Minecraft: Story Mode,Adventure,X360,1.20m,0.67m,0.42m,N/A,0.11m
Minecraft: Story Mode,Adventure,PS3,0.89m,0.32m,0.43m,N/A,0.15m
Minecraft: Story Mode,Adventure,PS4,0.87m,0.31m,0.42m,N/A,0.14m
Minecraft: Story Mode,Adventure,XOne,0.77m,0.46m,0.24m,N/A,0.07m
Minecraft: Story Mode,Adventure,PC,0.15m,0.04m,0.09m,N/A,0.01m
Minecraft: Story Mode,Adventure,WiiU,0.07m,0.04m,0.03m,N/A,0.01m
Hyrule Warriors,Action,WiiU,1.26m,0.59m,0.44m,0.13m,0.10m
The Talos Principle,Puzzle,PS4,0.04m,N/A,0.04m,N/A,0.01m
